ALLER_TYPE,RETURN_TYPE,AIRLINE_ALLER,AIRLINE_RETOUR,CITY_ARRIVAL,CITY_DEPARTURE,DATE_DE_DEPART,DATE_DE_RETOUR,HOR_ARRI,HOR_DEP,HOR_DEP_RETOUR,HOR_RETOUR,PRICE,FLIGHT_DURATION_DEPARTURE,FLIGHT_DURATION_RETURN,SEASON,FLIGHT_ROUTE,PRICE_CATEGORY
1 esclae,1 escale,Etihad Airways,Ryanair,Berlin,Cairo,2023-07-10,2023-07-13,01:53:00,17:11:00,18:46:00,20:17:00,739,918,91,Summer,Cairo - Berlin,Premium
2 esclaes,2 escales,Ryanair,Japan Airlines,London,Copenhagen,2023-06-18,2023-07-16,01:11:00,22:26:00,03:36:00,17:19:00,975,1275,823,Summer,Copenhagen - London,Premium
Vol direct,1 escale,Qatar Airways,Air Canada,New York,San Francisco,2023-03-26,2023-07-29,02:15:00,03:22:00,16:19:00,21:31:00,759,67,312,Spring,San Francisco - New York,Premium
1 esclae,2 escales,Air France,China Eastern Airlines,Istanbul,Vienna,2023-02-21,2023-05-28,02:25:00,16:31:00,04:10:00,13:12:00,109,846,542,Winter,Vienna - Istanbul,Budget
1 esclae,1 escale,Qantas,Ryanair,Tangier,Berlin,2023-04-22,2023-07-31,01:55:00,02:51:00,04:09:00,22:13:00,787,56,1084,Spring,Berlin - Tangier,Premium
2 esclaes,1 escale,United Airlines,KLM Royal Dutch Airlines,Barcelona,Rabat,2023-06-13,2023-07-13,04:02:00,06:38:00,21:52:00,23:18:00,185,156,86,Summer,Rabat - Barcelona,Budget
Vol direct,2 escales,Delta Air Lines,Cathay Pacific,Rio de Janeiro,Istanbul,2023-03-03,2023-05-02,01:51:00,04:53:00,02:35:00,12:59:00,58,182,624,Spring,Istanbul - Rio de Janeiro,Budget
1 esclae,Vol direct,Lufthansa,Alitalia,Los Angeles,London,2023-07-28,2023-07-31,05:25:00,15:15:00,09:24:00,14:14:00,349,590,290,Summer,London - Los Angeles,Standard
1 esclae,2 escales,Alitalia,Finnair,London,Sydney,2023-06-01,2023-06-29,04:45:00,23:43:00,13:07:00,21:40:00,801,1138,513,Summer,Sydney - London,Premium
2 esclaes,2 escales,British Airways,China Eastern Airlines,Rio de Janeiro,Delhi,2023-06-09,2023-07-15,03:28:00,20:13:00,11:19:00,14:51:00,328,1005,212,Summer,Delhi - Rio de Janeiro,Standard
Vol direct,Vol direct,Air France,KLM Royal Dutch Airlines,Rio de Janeiro,Sydney,2023-04-16,2023-07-05,05:34:00,02:42:00,13:31:00,20:05:00,985,172,394,Spring,Sydney - Rio de Janeiro,Premium
1 esclae,Vol direct,American Airlines,Japan Airlines,Barcelona,Berlin,2023-02-18,2023-03-28,01:36:00,16:37:00,04:45:00,08:59:00,297,901,254,Winter,Berlin - Barcelona,Standard
Vol direct,2 escales,Alitalia,JetBlue Airways,Rabat,Tangier,2023-03-15,2023-04-24,03:40:00,17:37:00,14:13:00,15:38:00,565,837,85,Spring,Tangier - Rabat,Premium
Vol direct,2 escales,Emirates,AirAsia,Delhi,Sydney,2023-07-07,2023-07-13,04:09:00,00:13:00,21:20:00,23:40:00,87,236,140,Summer,Sydney - Delhi,Budget
2 esclaes,Vol direct,American Airlines,Delta Air Lines,Amsterdam,Sydney,2023-04-13,2023-04-18,02:42:00,05:44:00,12:57:00,23:05:00,422,182,608,Spring,Sydney - Amsterdam,Standard
Vol direct,1 escale,Ryanair,Qantas,San Francisco,Copenhagen,2023-04-14,2023-07-13,06:08:00,13:49:00,11:54:00,23:07:00,303,461,673,Spring,Copenhagen - San Francisco,Standard
2 esclaes,2 escales,JetBlue Airways,JetBlue Airways,San Francisco,Rome,2023-06-05,2023-07-29,05:57:00,16:29:00,07:15:00,18:56:00,705,632,701,Summer,Rome - San Francisco,Premium
1 esclae,2 escales,Finnair,Qantas,Istanbul,Dublin,2023-07-26,2023-07-30,06:21:00,09:21:00,17:21:00,20:29:00,866,180,188,Summer,Dublin - Istanbul,Premium
2 esclaes,1 escale,Etihad Airways,Qatar Airways,Rome,Cairo,2023-06-28,2023-07-16,04:24:00,15:56:00,03:24:00,19:27:00,339,692,963,Summer,Cairo - Rome,Standard
Vol direct,2 escales,Emirates,ANA - All Nippon Airways,Vienna,Moscow,2023-04-21,2023-07-13,04:41:00,13:15:00,03:11:00,18:33:00,467,514,922,Spring,Moscow - Vienna,Standard
2 esclaes,1 escale,Lufthansa,Air France,Tangier,Marrakech,2023-01-05,2023-02-10,02:27:00,05:56:00,05:13:00,06:20:00,885,209,67,Winter,Marrakech - Tangier,Premium
Vol direct,1 escale,Japan Airlines,Royal Air Maroc,Paris,Stockholm,2023-07-05,2023-07-08,06:07:00,08:58:00,09:15:00,17:09:00,789,171,474,Summer,Stockholm - Paris,Premium
1 esclae,1 escale,Southwest Airlines,Lufthansa,Barcelona,New York,2023-03-08,2023-03-19,01:10:00,18:59:00,01:08:00,10:37:00,667,1069,569,Spring,New York - Barcelona,Premium
1 esclae,1 escale,Air France,Delta Air Lines,Marrakech,Tokyo,2023-02-13,2023-05-24,03:51:00,01:34:00,07:31:00,13:25:00,420,137,354,Winter,Tokyo - Marrakech,Standard
2 esclaes,1 escale,American Airlines,Ryanair,Rome,Copenhagen,2023-03-19,2023-05-09,06:00:00,03:01:00,16:53:00,21:12:00,97,179,259,Spring,Copenhagen - Rome,Budget
Vol direct,2 escales,Virgin Atlantic,Southwest Airlines,Marrakech,Rabat,2023-07-18,2023-07-30,06:58:00,18:31:00,01:21:00,19:08:00,462,693,1067,Summer,Rabat - Marrakech,Standard
2 esclaes,1 escale,Turkish Airlines,Southwest Airlines,New York,Copenhagen,2023-07-10,2023-07-13,02:01:00,19:47:00,03:57:00,05:08:00,65,1066,71,Summer,Copenhagen - New York,Budget
Vol direct,Vol direct,Royal Air Maroc,Air Canada,Stockholm,Rio de Janeiro,2023-05-06,2023-06-07,02:26:00,14:23:00,03:53:00,10:07:00,958,717,374,Spring,Rio de Janeiro - Stockholm,Premium
Vol direct,1 escale,Royal Air Maroc,United Airlines,Dublin,London,2023-05-09,2023-07-07,04:09:00,11:48:00,02:40:00,21:02:00,713,459,1102,Spring,London - Dublin,Premium
1 esclae,Vol direct,Turkish Airlines,Emirates,Stockholm,Los Angeles,2023-05-03,2023-06-23,06:57:00,19:20:00,13:01:00,23:40:00,459,743,639,Spring,Los Angeles - Stockholm,Standard
Vol direct,1 escale,Southwest Airlines,Japan Airlines,San Francisco,Tangier,2023-05-25,2023-06-10,03:12:00,05:13:00,13:06:00,18:51:00,417,121,345,Spring,Tangier - San Francisco,Standard
1 esclae,2 escales,JetBlue Airways,British Airways,Istanbul,Barcelona,2023-05-15,2023-07-31,04:32:00,06:59:00,08:45:00,18:51:00,354,147,606,Spring,Barcelona - Istanbul,Standard
1 esclae,2 escales,Qantas,American Airlines,Tokyo,San Francisco,2023-05-20,2023-07-06,06:30:00,19:38:00,00:48:00,18:41:00,824,788,1073,Spring,San Francisco - Tokyo,Premium
Vol direct,Vol direct,Virgin Atlantic,ANA - All Nippon Airways,Barcelona,Amsterdam,2023-07-14,2023-07-20,05:28:00,17:15:00,04:08:00,16:25:00,637,707,737,Summer,Amsterdam - Barcelona,Premium
1 esclae,2 escales,Finnair,Royal Air Maroc,Amsterdam,Tangier,2023-04-13,2023-07-05,05:32:00,16:23:00,06:38:00,23:15:00,332,651,997,Spring,Tangier - Amsterdam,Standard
1 esclae,1 escale,Royal Air Maroc,Qatar Airways,Fes,Stockholm,2023-02-21,2023-06-30,03:24:00,22:43:00,13:24:00,19:16:00,198,1159,352,Winter,Stockholm - Fes,Budget
Vol direct,Vol direct,Virgin Atlantic,AirAsia,Berlin,Rio de Janeiro,2023-05-28,2023-07-08,04:57:00,10:38:00,18:08:00,19:29:00,795,341,81,Spring,Rio de Janeiro - Berlin,Premium
1 esclae,1 escale,Etihad Airways,Delta Air Lines,Paris,Copenhagen,2023-03-22,2023-05-06,03:29:00,01:43:00,06:31:00,17:14:00,143,106,643,Spring,Copenhagen - Paris,Budget
Vol direct,1 escale,KLM Royal Dutch Airlines,Air Canada,Cairo,Los Angeles,2023-03-17,2023-04-15,02:54:00,02:13:00,12:55:00,20:07:00,349,41,432,Spring,Los Angeles - Cairo,Standard
2 esclaes,Vol direct,Air France,Emirates,Athens,Amsterdam,2023-07-04,2023-07-21,05:50:00,11:05:00,16:46:00,23:40:00,688,315,414,Summer,Amsterdam - Athens,Premium
Vol direct,1 escale,ANA - All Nippon Airways,Qantas,Barcelona,Delhi,2023-03-13,2023-03-15,04:32:00,07:25:00,12:31:00,16:42:00,444,173,251,Spring,Delhi - Barcelona,Standard
Vol direct,Vol direct,JetBlue Airways,Cathay Pacific,Stockholm,Dublin,2023-03-24,2023-04-22,06:35:00,16:32:00,16:04:00,18:50:00,130,597,166,Spring,Dublin - Stockholm,Budget
Vol direct,1 escale,Cathay Pacific,Royal Air Maroc,Los Angeles,Tangier,2023-02-27,2023-03-06,03:27:00,05:18:00,06:30:00,23:32:00,719,111,1022,Winter,Tangier - Los Angeles,Premium
2 esclaes,1 escale,China Eastern Airlines,AirAsia,Rome,Athens,2023-04-06,2023-07-28,04:02:00,07:12:00,00:23:00,03:51:00,581,190,208,Spring,Athens - Rome,Premium
2 esclaes,2 escales,China Eastern Airlines,Qantas,San Francisco,Fes,2023-04-24,2023-06-11,04:08:00,02:20:00,15:32:00,17:43:00,605,108,131,Spring,Fes - San Francisco,Premium
Vol direct,2 escales,ANA - All Nippon Airways,Delta Air Lines,Berlin,Rio de Janeiro,2023-01-24,2023-03-19,05:37:00,18:56:00,17:59:00,23:48:00,645,799,349,Winter,Rio de Janeiro - Berlin,Premium
2 esclaes,1 escale,Air France,Emirates,Rabat,Paris,2023-07-16,2023-07-19,05:56:00,14:53:00,09:36:00,21:17:00,821,537,701,Summer,Paris - Rabat,Premium
1 esclae,2 escales,KLM Royal Dutch Airlines,AirAsia,Rabat,Rome,2023-02-14,2023-05-01,02:13:00,23:23:00,02:58:00,13:59:00,713,1270,661,Winter,Rome - Rabat,Premium
Vol direct,1 escale,Finnair,KLM Royal Dutch Airlines,Istanbul,Los Angeles,2023-05-29,2023-07-14,06:41:00,03:41:00,00:57:00,23:08:00,738,180,1331,Spring,Los Angeles - Istanbul,Premium
1 esclae,1 escale,Japan Airlines,JetBlue Airways,Fes,London,2023-03-02,2023-03-04,06:09:00,10:52:00,01:17:00,05:46:00,277,283,269,Spring,London - Fes,Standard
Vol direct,2 escales,Qantas,Ryanair,Amsterdam,Cairo,2023-03-31,2023-06-24,05:12:00,06:47:00,07:10:00,16:32:00,261,95,562,Spring,Cairo - Amsterdam,Standard
1 esclae,Vol direct,Qatar Airways,JetBlue Airways,Paris,Casablanca,2023-01-15,2023-01-20,06:39:00,16:23:00,22:14:00,23:27:00,767,584,73,Winter,Casablanca - Paris,Premium
1 esclae,Vol direct,Finnair,Singapore Airlines,Rome,Athens,2023-02-27,2023-06-14,06:06:00,04:28:00,05:32:00,18:16:00,767,98,764,Winter,Athens - Rome,Premium
1 esclae,1 escale,Japan Airlines,Royal Air Maroc,Stockholm,Sydney,2023-04-17,2023-07-03,04:36:00,16:31:00,06:23:00,17:20:00,831,715,657,Spring,Sydney - Stockholm,Premium
Vol direct,2 escales,British Airways,Air France,Berlin,Rio de Janeiro,2023-07-01,2023-07-06,03:03:00,21:04:00,00:31:00,00:52:00,93,1081,21,Summer,Rio de Janeiro - Berlin,Budget
2 esclaes,2 escales,Royal Air Maroc,China Eastern Airlines,Paris,Athens,2023-02-25,2023-07-20,02:34:00,12:48:00,09:52:00,18:20:00,489,614,508,Winter,Athens - Paris,Standard
2 esclaes,Vol direct,Japan Airlines,British Airways,Fes,New York,2023-03-01,2023-04-10,02:06:00,14:37:00,02:32:00,04:02:00,556,751,90,Spring,New York - Fes,Premium
2 esclaes,1 escale,China Eastern Airlines,British Airways,Tokyo,Fes,2023-06-16,2023-07-17,01:33:00,22:47:00,20:54:00,23:01:00,860,1274,127,Summer,Fes - Tokyo,Premium
1 esclae,Vol direct,Virgin Atlantic,Air France,Paris,Marrakech,2023-03-31,2023-06-08,05:24:00,18:54:00,13:05:00,22:19:00,59,810,554,Spring,Marrakech - Paris,Budget
1 esclae,1 escale,United Airlines,Ryanair,Amsterdam,Dublin,2023-05-28,2023-06-26,01:04:00,07:50:00,01:34:00,08:35:00,807,406,421,Spring,Dublin - Amsterdam,Premium
2 esclaes,Vol direct,Southwest Airlines,Southwest Airlines,Istanbul,Berlin,2023-06-28,2023-07-05,03:40:00,03:00:00,14:10:00,15:42:00,962,40,92,Summer,Berlin - Istanbul,Premium
1 esclae,Vol direct,KLM Royal Dutch Airlines,United Airlines,Rio de Janeiro,Los Angeles,2023-03-01,2023-04-06,06:47:00,09:34:00,07:52:00,10:09:00,637,167,137,Spring,Los Angeles - Rio de Janeiro,Premium
1 esclae,1 escale,Ryanair,Ryanair,Stockholm,Marrakech,2023-03-20,2023-04-19,05:03:00,07:38:00,06:54:00,11:16:00,466,155,262,Spring,Marrakech - Stockholm,Standard
1 esclae,1 escale,Alitalia,Southwest Airlines,Amsterdam,Berlin,2023-04-28,2023-06-13,05:45:00,10:54:00,16:51:00,23:39:00,205,309,408,Spring,Berlin - Amsterdam,Standard
Vol direct,2 escales,Virgin Atlantic,Turkish Airlines,Rabat,Rome,2023-06-10,2023-07-16,06:11:00,20:04:00,12:43:00,23:05:00,809,833,622,Summer,Rome - Rabat,Premium
2 esclaes,1 escale,JetBlue Airways,Delta Air Lines,San Francisco,Cairo,2023-01-16,2023-02-13,05:42:00,12:38:00,13:13:00,15:37:00,726,416,144,Winter,Cairo - San Francisco,Premium
2 esclaes,2 escales,Qantas,British Airways,Casablanca,New York,2023-04-04,2023-06-09,03:46:00,05:32:00,04:33:00,18:24:00,984,106,831,Spring,New York - Casablanca,Premium
2 esclaes,Vol direct,Cathay Pacific,Qatar Airways,Copenhagen,Rio de Janeiro,2023-05-02,2023-07-19,05:20:00,16:07:00,03:25:00,04:29:00,862,647,64,Spring,Rio de Janeiro - Copenhagen,Premium
1 esclae,Vol direct,Delta Air Lines,American Airlines,Istanbul,Athens,2023-03-22,2023-07-22,06:01:00,09:20:00,03:01:00,18:23:00,401,199,922,Spring,Athens - Istanbul,Standard
1 esclae,2 escales,Japan Airlines,Air France,Copenhagen,New York,2023-03-01,2023-06-26,01:16:00,18:19:00,00:03:00,03:21:00,332,1023,198,Spring,New York - Copenhagen,Standard
Vol direct,2 escales,JetBlue Airways,JetBlue Airways,Moscow,Tangier,2023-05-28,2023-07-15,04:20:00,16:58:00,12:00:00,21:08:00,978,758,548,Spring,Tangier - Moscow,Premium
Vol direct,2 escales,Japan Airlines,Turkish Airlines,Rabat,Marrakech,2023-02-23,2023-05-02,04:47:00,23:41:00,18:24:00,21:28:00,552,1134,184,Winter,Marrakech - Rabat,Premium
2 esclaes,1 escale,Japan Airlines,Southwest Airlines,Sydney,Rabat,2023-03-26,2023-05-16,05:02:00,14:11:00,19:06:00,23:56:00,642,549,290,Spring,Rabat - Sydney,Premium
1 esclae,Vol direct,Royal Air Maroc,Singapore Airlines,Barcelona,Paris,2023-01-14,2023-01-17,04:13:00,00:19:00,05:39:00,22:48:00,591,234,1029,Winter,Paris - Barcelona,Premium
2 esclaes,2 escales,Emirates,China Eastern Airlines,Marrakech,Rabat,2023-01-17,2023-02-07,05:35:00,15:34:00,06:15:00,17:38:00,898,599,683,Winter,Rabat - Marrakech,Premium
1 esclae,Vol direct,Ryanair,ANA - All Nippon Airways,Tokyo,Rome,2023-03-09,2023-05-17,05:35:00,16:14:00,08:27:00,22:58:00,79,639,871,Spring,Rome - Tokyo,Budget
Vol direct,2 escales,Singapore Airlines,Southwest Airlines,Sydney,Marrakech,2023-05-16,2023-07-06,03:45:00,20:02:00,06:46:00,14:08:00,531,977,442,Spring,Marrakech - Sydney,Premium
2 esclaes,1 escale,AirAsia,Ryanair,Rome,Paris,2023-02-07,2023-05-12,06:08:00,20:20:00,19:30:00,23:24:00,85,852,234,Winter,Paris - Rome,Budget
Vol direct,1 escale,American Airlines,KLM Royal Dutch Airlines,Delhi,Fes,2023-04-05,2023-07-04,06:40:00,01:41:00,03:35:00,17:41:00,774,299,846,Spring,Fes - Delhi,Premium
1 esclae,2 escales,United Airlines,Virgin Atlantic,New York,Athens,2023-03-05,2023-04-25,03:43:00,00:33:00,13:01:00,17:46:00,675,190,285,Spring,Athens - New York,Premium
2 esclaes,2 escales,Royal Air Maroc,Finnair,Istanbul,London,2023-02-13,2023-06-10,06:37:00,00:31:00,00:10:00,17:24:00,978,366,1034,Winter,London - Istanbul,Premium
Vol direct,Vol direct,JetBlue Airways,Japan Airlines,Amsterdam,Vienna,2023-07-04,2023-07-19,05:17:00,02:30:00,03:07:00,03:24:00,971,167,17,Summer,Vienna - Amsterdam,Premium
1 esclae,2 escales,Air France,Etihad Airways,San Francisco,Rome,2023-02-06,2023-04-09,02:31:00,19:17:00,01:51:00,07:06:00,422,1006,315,Winter,Rome - San Francisco,Standard
2 esclaes,1 escale,ANA - All Nippon Airways,Royal Air Maroc,Moscow,Dublin,2023-07-25,2023-07-31,05:44:00,09:46:00,14:35:00,22:18:00,614,242,463,Summer,Dublin - Moscow,Premium
1 esclae,2 escales,Turkish Airlines,Air France,Rome,Rabat,2023-05-26,2023-07-13,01:02:00,22:20:00,07:43:00,20:07:00,396,1278,744,Spring,Rabat - Rome,Standard
Vol direct,1 escale,Ryanair,China Eastern Airlines,Tokyo,Marrakech,2023-04-24,2023-06-26,05:18:00,06:16:00,12:10:00,17:15:00,889,58,305,Spring,Marrakech - Tokyo,Premium
2 esclaes,Vol direct,British Airways,Lufthansa,Fes,Cairo,2023-01-23,2023-06-16,04:31:00,12:11:00,09:20:00,18:02:00,952,460,522,Winter,Cairo - Fes,Premium
2 esclaes,1 escale,AirAsia,Air France,Vienna,Barcelona,2023-02-16,2023-05-23,06:37:00,11:06:00,20:09:00,22:45:00,786,269,156,Winter,Barcelona - Vienna,Premium
2 esclaes,2 escales,Qatar Airways,Emirates,Moscow,Fes,2023-05-14,2023-06-03,06:26:00,08:28:00,20:04:00,23:38:00,823,122,214,Spring,Fes - Moscow,Premium
1 esclae,2 escales,Royal Air Maroc,Etihad Airways,Cairo,Barcelona,2023-04-15,2023-07-07,04:03:00,07:21:00,21:11:00,22:05:00,166,198,54,Spring,Barcelona - Cairo,Budget
1 esclae,2 escales,JetBlue Airways,Ryanair,Amsterdam,Fes,2023-03-23,2023-06-20,03:00:00,07:17:00,16:34:00,20:28:00,177,257,234,Spring,Fes - Amsterdam,Budget
1 esclae,1 escale,Southwest Airlines,Cathay Pacific,Barcelona,Istanbul,2023-03-15,2023-05-23,01:59:00,17:45:00,00:01:00,04:00:00,106,946,239,Spring,Istanbul - Barcelona,Budget
1 esclae,1 escale,KLM Royal Dutch Airlines,United Airlines,Casablanca,San Francisco,2023-04-18,2023-06-18,03:16:00,12:38:00,04:36:00,07:56:00,801,562,200,Spring,San Francisco - Casablanca,Premium
Vol direct,Vol direct,Qantas,Lufthansa,Tangier,Copenhagen,2023-03-09,2023-06-14,06:40:00,11:14:00,15:01:00,18:07:00,258,274,186,Spring,Copenhagen - Tangier,Standard
Vol direct,Vol direct,Finnair,Ryanair,Delhi,Sydney,2023-07-12,2023-07-14,03:54:00,21:58:00,07:49:00,23:25:00,298,1084,936,Summer,Sydney - Delhi,Standard
2 esclaes,1 escale,Virgin Atlantic,Delta Air Lines,Sydney,Moscow,2023-07-08,2023-07-16,01:11:00,17:26:00,22:04:00,23:50:00,326,975,106,Summer,Moscow - Sydney,Standard
Vol direct,1 escale,Etihad Airways,China Eastern Airlines,Stockholm,Rabat,2023-07-05,2023-07-27,05:16:00,21:52:00,20:04:00,21:18:00,917,996,74,Summer,Rabat - Stockholm,Premium
Vol direct,2 escales,Lufthansa,Cathay Pacific,Paris,Los Angeles,2023-06-01,2023-06-24,06:17:00,18:45:00,04:41:00,21:19:00,360,748,998,Summer,Los Angeles - Paris,Standard
Vol direct,1 escale,Qatar Airways,American Airlines,Stockholm,Copenhagen,2023-04-23,2023-04-25,01:37:00,09:02:00,10:49:00,20:49:00,504,445,600,Spring,Copenhagen - Stockholm,Premium
2 esclaes,1 escale,Singapore Airlines,Emirates,Athens,Rabat,2023-02-10,2023-03-30,06:22:00,12:39:00,11:54:00,15:48:00,118,377,234,Winter,Rabat - Athens,Budget
1 esclae,Vol direct,Turkish Airlines,Japan Airlines,Moscow,Fes,2023-07-28,2023-07-31,05:56:00,13:47:00,07:38:00,23:05:00,619,471,927,Summer,Fes - Moscow,Premium
Vol direct,Vol direct,British Airways,Ryanair,Rio de Janeiro,Casablanca,2023-01-06,2023-05-16,04:27:00,22:25:00,18:58:00,23:37:00,368,1078,279,Winter,Casablanca - Rio de Janeiro,Standard
2 esclaes,2 escales,Ryanair,United Airlines,Istanbul,Los Angeles,2023-03-05,2023-04-18,03:28:00,11:29:00,01:38:00,22:12:00,533,481,1234,Spring,Los Angeles - Istanbul,Premium
2 esclaes,1 escale,Emirates,AirAsia,Amsterdam,Stockholm,2023-07-20,2023-07-30,03:01:00,16:00:00,10:36:00,12:35:00,231,779,119,Summer,Stockholm - Amsterdam,Standard
Vol direct,1 escale,Qantas,Alitalia,Los Angeles,Casablanca,2023-06-02,2023-07-02,04:01:00,14:52:00,22:09:00,22:41:00,642,651,32,Summer,Casablanca - Los Angeles,Premium
Vol direct,1 escale,British Airways,Cathay Pacific,Tokyo,Tangier,2023-02-13,2023-02-21,02:57:00,13:31:00,14:50:00,19:46:00,830,634,296,Winter,Tangier - Tokyo,Premium
1 esclae,Vol direct,Air France,Qatar Airways,Vienna,Dublin,2023-06-14,2023-07-22,02:06:00,20:02:00,14:06:00,18:58:00,629,1076,292,Summer,Dublin - Vienna,Premium
2 esclaes,1 escale,Royal Air Maroc,Singapore Airlines,Delhi,London,2023-07-24,2023-07-29,05:28:00,22:43:00,18:09:00,18:35:00,943,1035,26,Summer,London - Delhi,Premium
2 esclaes,2 escales,Ryanair,Emirates,Rome,Casablanca,2023-05-10,2023-07-18,01:42:00,03:26:00,19:44:00,21:46:00,849,104,122,Spring,Casablanca - Rome,Premium
Vol direct,Vol direct,Turkish Airlines,Delta Air Lines,Fes,Rio de Janeiro,2023-04-20,2023-06-13,02:09:00,08:10:00,08:12:00,12:09:00,202,361,237,Spring,Rio de Janeiro - Fes,Standard
2 esclaes,1 escale,Air France,Turkish Airlines,Delhi,Amsterdam,2023-04-04,2023-06-20,03:16:00,22:10:00,10:53:00,11:17:00,606,1134,24,Spring,Amsterdam - Delhi,Premium
Vol direct,2 escales,United Airlines,Emirates,Vienna,Moscow,2023-04-30,2023-07-31,04:59:00,18:41:00,03:23:00,13:58:00,173,822,635,Spring,Moscow - Vienna,Budget
2 esclaes,2 escales,American Airlines,Southwest Airlines,Delhi,Cairo,2023-01-19,2023-05-27,03:50:00,11:19:00,04:34:00,06:31:00,721,449,117,Winter,Cairo - Delhi,Premium
Vol direct,Vol direct,Virgin Atlantic,Cathay Pacific,New York,Tokyo,2023-04-12,2023-07-06,02:30:00,08:07:00,06:39:00,15:26:00,112,337,527,Spring,Tokyo - New York,Budget
Vol direct,1 escale,Japan Airlines,Japan Airlines,Tokyo,Barcelona,2023-07-22,2023-07-25,06:45:00,13:55:00,21:05:00,22:37:00,945,430,92,Summer,Barcelona - Tokyo,Premium
1 esclae,2 escales,Emirates,United Airlines,Sydney,Berlin,2023-07-10,2023-07-28,03:10:00,10:24:00,01:32:00,23:37:00,342,434,1325,Summer,Berlin - Sydney,Standard
2 esclaes,2 escales,Southwest Airlines,Royal Air Maroc,Casablanca,Moscow,2023-02-24,2023-05-29,01:53:00,01:04:00,23:31:00,23:50:00,251,49,19,Winter,Moscow - Casablanca,Standard
1 esclae,Vol direct,Singapore Airlines,Air France,San Francisco,Fes,2023-04-19,2023-06-29,05:41:00,23:21:00,23:34:00,23:52:00,461,1060,18,Spring,Fes - San Francisco,Standard
2 esclaes,Vol direct,China Eastern Airlines,British Airways,Rome,Tangier,2023-02-24,2023-04-25,05:23:00,14:04:00,20:30:00,21:57:00,534,521,87,Winter,Tangier - Rome,Premium
2 esclaes,1 escale,Qantas,ANA - All Nippon Airways,Barcelona,Casablanca,2023-06-25,2023-07-02,03:14:00,01:44:00,18:50:00,19:38:00,856,90,48,Summer,Casablanca - Barcelona,Premium
2 esclaes,Vol direct,Royal Air Maroc,Delta Air Lines,Athens,Delhi,2023-07-04,2023-07-20,01:53:00,03:33:00,18:14:00,19:19:00,412,100,65,Summer,Delhi - Athens,Standard
2 esclaes,2 escales,Emirates,Alitalia,Amsterdam,Delhi,2023-04-16,2023-07-01,02:07:00,10:34:00,07:48:00,17:22:00,616,507,574,Spring,Delhi - Amsterdam,Premium
Vol direct,Vol direct,Ryanair,Lufthansa,Barcelona,Marrakech,2023-03-13,2023-07-12,05:56:00,04:38:00,00:02:00,15:24:00,106,78,922,Spring,Marrakech - Barcelona,Budget
1 esclae,1 escale,Turkish Airlines,British Airways,Copenhagen,Rabat,2023-06-14,2023-07-31,02:06:00,18:13:00,23:12:00,23:33:00,622,967,21,Summer,Rabat - Copenhagen,Premium
